"Date(UTC)","UnixTimeStamp","Value"
"5/4/2017","1493856000","0"
"5/5/2017","1493942400","0"
"5/6/2017","1494028800","0"
"5/7/2017","1494115200","0"
"5/8/2017","1494201600","0"
"5/9/2017","1494288000","29"
"5/10/2017","1494374400","188"
"5/11/2017","1494460800","318"
"5/12/2017","1494547200","343"
"5/13/2017","1494633600","631"
"5/14/2017","1494720000","603"
"5/15/2017","1494806400","1267"
"5/16/2017","1494892800","935"
"5/17/2017","1494979200","1104"
"5/18/2017","1495065600","1127"
"5/19/2017","1495152000","1694"
"5/20/2017","1495238400","1842"
"5/21/2017","1495324800","1986"
"5/22/2017","1495411200","2100"
"5/23/2017","1495497600","2229"
"5/24/2017","1495584000","3003"
"5/25/2017","1495670400","2234"
"5/26/2017","1495756800","1917"
"5/27/2017","1495843200","1971"
"5/28/2017","1495929600","2102"
"5/29/2017","1496016000","3863"
"5/30/2017","1496102400","3124"
"5/31/2017","1496188800","1970"
"6/1/2017","1496275200","2043"
"6/2/2017","1496361600","2108"
"6/3/2017","1496448000","2157"
"6/4/2017","1496534400","2555"
"6/5/2017","1496620800","1748"
"6/6/2017","1496707200","1721"
"6/7/2017","1496793600","2596"
"6/8/2017","1496880000","1893"
"6/9/2017","1496966400","1748"
"6/10/2017","1497052800","1744"
"6/11/2017","1497139200","1975"
"6/12/2017","1497225600","1828"
"6/13/2017","1497312000","1785"
"6/14/2017","1497398400","1751"
"6/15/2017","1497484800","1846"
"6/16/2017","1497571200","1985"
"6/17/2017","1497657600","2067"
"6/18/2017","1497744000","1804"
"6/19/2017","1497830400","1734"
"6/20/2017","1497916800","920"
"6/21/2017","1498003200","598"
"6/22/2017","1498089600","2285"
"6/23/2017","1498176000","2498"
"6/24/2017","1498262400","2111"
"6/25/2017","1498348800","2067"
"6/26/2017","1498435200","907"
"6/27/2017","1498521600","1796"
"6/28/2017","1498608000","2096"
"6/29/2017","1498694400","2141"
"6/30/2017","1498780800","2075"
"7/1/2017","1498867200","1573"
"7/2/2017","1498953600","1902"
"7/3/2017","1499040000","2010"
"7/4/2017","1499126400","1712"
"7/5/2017","1499212800","1595"
"7/6/2017","1499299200","1774"
"7/7/2017","1499385600","1925"
"7/8/2017","1499472000","1586"
"7/9/2017","1499558400","1767"
"7/10/2017","1499644800","1529"
"7/11/2017","1499731200","1718"
"7/12/2017","1499817600","1482"
"7/13/2017","1499904000","1980"
"7/14/2017","1499990400","2209"
"7/15/2017","1500076800","2875"
"7/16/2017","1500163200","3332"
"7/17/2017","1500249600","2651"
"7/18/2017","1500336000","2170"
"7/19/2017","1500422400","2251"
"7/20/2017","1500508800","724"
"7/21/2017","1500595200","688"
"7/22/2017","1500681600","680"
"7/23/2017","1500768000","596"
"7/24/2017","1500854400","538"
"7/25/2017","1500940800","637"
"7/26/2017","1501027200","691"
"7/27/2017","1501113600","569"
"7/28/2017","1501200000","511"
"7/29/2017","1501286400","512"
"7/30/2017","1501372800","654"
"7/31/2017","1501459200","919"
"8/1/2017","1501545600","726"
"8/2/2017","1501632000","986"
"8/3/2017","1501718400","724"
"8/4/2017","1501804800","359"
"8/5/2017","1501891200","481"
"8/6/2017","1501977600","768"
"8/7/2017","1502064000","845"
"8/8/2017","1502150400","1392"
"8/9/2017","1502236800","716"
"8/10/2017","1502323200","749"
"8/11/2017","1502409600","900"
"8/12/2017","1502496000","383"
"8/13/2017","1502582400","1938"
"8/14/2017","1502668800","1106"
"8/15/2017","1502755200","366"
"8/16/2017","1502841600","326"
"8/17/2017","1502928000","593"
"8/18/2017","1503014400","742"
"8/19/2017","1503100800","1633"
"8/20/2017","1503187200","535"
"8/21/2017","1503273600","277"
"8/22/2017","1503360000","581"
"8/23/2017","1503446400","720"
"8/24/2017","1503532800","595"
"8/25/2017","1503619200","1017"
"8/26/2017","1503705600","472"
"8/27/2017","1503792000","392"
"8/28/2017","1503878400","436"
"8/29/2017","1503964800","326"
"8/30/2017","1504051200","405"
"8/31/2017","1504137600","185"
"9/1/2017","1504224000","371"
"9/2/2017","1504310400","420"
"9/3/2017","1504396800","479"
"9/4/2017","1504483200","535"
"9/5/2017","1504569600","227"
"9/6/2017","1504656000","224"
"9/7/2017","1504742400","207"
"9/8/2017","1504828800","229"
"9/9/2017","1504915200","273"
"9/10/2017","1505001600","402"
"9/11/2017","1505088000","217"
"9/12/2017","1505174400","199"
"9/13/2017","1505260800","274"
"9/14/2017","1505347200","296"
"9/15/2017","1505433600","260"
"9/16/2017","1505520000","539"
"9/17/2017","1505606400","267"
"9/18/2017","1505692800","646"
"9/19/2017","1505779200","360"
"9/20/2017","1505865600","170"
"9/21/2017","1505952000","453"
"9/22/2017","1506038400","463"
"9/23/2017","1506124800","167"
"9/24/2017","1506211200","142"
"9/25/2017","1506297600","190"
"9/26/2017","1506384000","203"
"9/27/2017","1506470400","183"
"9/28/2017","1506556800","144"
"9/29/2017","1506643200","131"
"9/30/2017","1506729600","140"
"10/1/2017","1506816000","295"
